LEAID,SHYEAR,AGCHRT,LAT,LON
2700180,1999-00,1,44.041607,-92.500456
2700181,1999-00,1,44.92799,-93.252176
2705850,1999-00,1,44.048166,-91.671777
2708955,1999-00,1,44.969787,-93.076922
2723380,1999-00,1,45.057382,-92.816045
2738900,1999-00,1,NA,NA
3700077,1999-00,1,36.0216,-81.9297
3700078,1999-00,1,35.603126,-82.498788
3700079,1999-00,1,NA,NA
3700080,1999-00,1,NA,NA
3700081,1999-00,1,35.936822,-78.851076
3700082,1999-00,1,NA,NA
3700083,1999-00,1,36.170055,-80.299837
3700084,1999-00,1,36.15217,-79.872781
3700085,1999-00,1,35.313672,-82.441779
3700086,1999-00,1,35.78339,-80.887291
3700087,1999-00,1,NA,NA
3700088,1999-00,1,NA,NA
3700089,1999-00,1,35.257679,-80.797545
3700091,1999-00,1,35.213309,-79.331482
3700092,1999-00,1,NA,NA
3700093,1999-00,1,35.272252,-81.794303
3700094,1999-00,1,NA,NA
3700095,1999-00,1,NA,NA
3700096,1999-00,1,36.330254,-78.430398
3700097,1999-00,1,35.79605,-78.647481
3700098,1999-00,1,35.82737,-78.606671
3700099,1999-00,1,35.90236,-78.677641
3700100,1999-00,1,NA,NA
3900030,1999-00,1,NA,NA
3900031,1999-00,1,39.110983,-84.528192
3900032,1999-00,1,41.52396,-81.620001
3900033,1999-00,1,41.083293,-81.510304
3900034,1999-00,1,NA,NA
3900035,1999-00,1,NA,NA
3900036,1999-00,1,39.9202,-82.906501
3900037,1999-00,1,NA,NA
3900038,1999-00,1,41.04872,-81.439701
3900039,1999-00,1,NA,NA
3900040,1999-00,1,41.530941,-81.648551
3900041,1999-00,1,NA,NA
3900042,1999-00,1,40.062216,-82.991045
3900043,1999-00,1,39.086604,-84.577944
3900044,1999-00,1,NA,NA
3900045,1999-00,1,NA,NA
3900046,1999-00,1,NA,NA
3900047,1999-00,1,39.7641,-84.207441
3900048,1999-00,1,NA,NA
3900049,1999-00,1,NA,NA
3900050,1999-00,1,41.064886,-80.661041
3900051,1999-00,1,41.465126,-81.714409
3900052,1999-00,1,41.50252,-81.665961
3900053,1999-00,1,41.08969,-81.526441
3900054,1999-00,1,NA,NA
3900055,1999-00,1,NA,NA
3900056,1999-00,1,41.656533,-83.543455
3900057,1999-00,1,39.73218,-84.25997
3900058,1999-00,1,NA,NA
3900059,1999-00,1,NA,NA
3900060,1999-00,1,NA,NA
3900061,1999-00,1,NA,NA
3900062,1999-00,1,NA,NA
4200011,1999-00,1,41.399107,-80.446542
